Date,Symbol,Direction,Entry Price,Exit Price,Shares,P&L,P&L %,Entry Time,Exit Time,Stop Loss,Take Profit,Close Reason
2024-07-16,AAPL,short,$233.73,$223.14,8.556993755324374,$90.62,4.53%,00:00:00,00:00:00,$238.40,$224.38,take_profit
2024-07-30,AAPL,long,$217.78,$208.30,9.191838461105013,$-87.19,-4.36%,00:00:00,00:00:00,$213.43,$226.49,stop_loss
2024-08-05,AAPL,long,$208.30,$216.77,9.60205626978814,$81.35,4.07%,00:00:00,00:00:00,$204.13,$216.63,take_profit
2024-08-23,AAPL,short,$226.05,$215.56,8.85528050624082,$92.83,4.64%,00:00:00,00:00:00,$230.57,$217.00,take_profit
2024-09-17,AAPL,long,$216.03,$228.07,9.274390711118388,$111.64,5.57%,00:00:00,00:00:00,$211.71,$224.67,take_profit
2024-11-04,AAPL,long,$221.23,$232.31,9.066419538268553,$100.43,5.01%,00:00:00,00:00:00,$216.81,$230.08,take_profit
2024-11-26,AAPL,short,$234.49,$242.07,8.562227493717561,$-64.83,-3.23%,00:00:00,00:00:00,$239.18,$225.11,stop_loss
2024-12-03,AAPL,short,$242.07,$247.17,8.289047369483443,$-42.34,-2.11%,00:00:00,00:00:00,$246.91,$232.38,stop_loss
2024-12-10,AAPL,short,$247.17,$252.87,8.114333962608447,$-46.22,-2.30%,00:00:00,00:00:00,$252.12,$237.29,stop_loss
2024-12-17,AAPL,short,$252.87,$258.40,7.92789173666852,$-43.81,-2.19%,00:00:00,00:00:00,$257.93,$242.76,stop_loss
2024-12-26,AAPL,short,$258.40,$243.26,7.754936110734558,$117.36,5.86%,00:00:00,00:00:00,$263.56,$248.06,take_profit
2025-01-13,AAPL,long,$233.84,$227.71,8.579506561507491,$-52.55,-2.62%,00:00:00,00:00:00,$229.16,$243.19,stop_loss
2025-01-16,AAPL,long,$227.71,$222.10,8.80567254341647,$-49.37,-2.46%,00:00:00,00:00:00,$223.16,$236.82,stop_loss
2025-01-21,AAPL,long,$222.10,$237.69,9.023504581973869,$140.61,7.02%,00:00:00,00:00:00,$217.66,$230.99,take_profit
2025-02-24,AAPL,short,$246.78,$235.62,8.13274933367554,$90.72,4.52%,00:00:00,00:00:00,$251.71,$236.91,take_profit
2025-03-10,AAPL,long,$227.18,$220.55,8.842180838178686,$-58.64,-2.92%,00:00:00,00:00:00,$222.64,$236.27,stop_loss
2025-03-11,AAPL,long,$220.55,$209.41,9.10272159292239,$-101.45,-5.05%,00:00:00,00:00:00,$216.14,$229.37,stop_loss
2025-03-13,AAPL,long,$209.41,$217.98,9.577514882496502,$82.16,4.10%,00:00:00,00:00:00,$205.22,$217.78,take_profit
2025-03-21,AAPL,long,$217.98,$202.92,9.208130911942318,$-138.68,-6.91%,00:00:00,00:00:00,$213.62,$226.70,stop_loss
2025-04-07,AAPL,long,$181.22,$172.19,11.060737486222134,$-99.86,-4.98%,00:00:00,00:00:00,$177.60,$188.47,stop_loss
2025-04-08,AAPL,long,$172.19,$198.59,11.62905529315576,$306.95,15.33%,00:00:00,00:00:00,$168.75,$179.08,take_profit
2025-04-29,AAPL,short,$210.93,$198.63,9.522413087363976,$117.16,5.83%,00:00:00,00:00:00,$215.15,$202.50,take_profit
